Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills,10,3,0,.769,359,321,38,2.9,0.1,3.1,3.1,0.0
Miami Dolphins,8,5,0,.615,330,245,85,6.5,-2.2,4.3,0.2,4.1
New England Patriots,6,7,0,.462,277,279,-2,-0.2,0.5,0.4,-3.4,3.8
New York Jets,0,13,0,.000,183,393,-210,-16.2,1.7,-14.4,-10.1,-4.3
Pittsburgh Steelers,11,2,0,.846,349,237,112,8.6,-1.8,6.8,1.4,5.4
Cleveland Browns,9,4,0,.692,348,368,-20,-1.5,-1.3,-2.8,1.6,-4.4
Baltimore Ravens,8,5,0,.615,363,273,90,6.9,0.0,6.9,3.2,3.7
Cincinnati Bengals,2,10,1,.192,244,338,-94,-7.2,-0.7,-8.0,-6.4,-1.6
Indianapolis Colts,9,4,0,.692,372,300,72,5.5,-2.3,3.2,1.9,1.3
Tennessee Titans,9,4,0,.692,390,336,54,4.2,-1.4,2.8,5.0,-2.3
Houston Texans,4,9,0,.308,295,359,-64,-4.9,0.4,-4.5,-2.1,-2.4
Jacksonville Jaguars,1,12,0,.077,261,383,-122,-9.4,-0.5,-9.9,-5.8,-4.1
Kansas City Chiefs,12,1,0,.923,403,281,122,9.4,-1.5,7.9,5.7,2.2
Las Vegas Raiders,7,7,0,.500,377,421,-44,-3.1,0.3,-2.9,2.3,-5.1
Denver Broncos,5,8,0,.385,257,347,-90,-6.9,1.7,-5.2,-4.1,-1.1
Los Angeles Chargers,5,9,0,.357,327,389,-62,-4.4,-0.9,-5.3,-1.5,-3.8
Washington Football Team,6,7,0,.462,287,275,12,0.9,-1.0,-0.1,-2.9,2.8
New York Giants,5,8,0,.385,238,291,-53,-4.1,0.8,-3.2,-5.3,2.0
Philadelphia Eagles,4,8,1,.346,277,328,-51,-3.9,1.3,-2.7,-2.4,-0.3
Dallas Cowboys,4,9,0,.308,298,400,-102,-7.8,0.9,-7.0,-0.6,-6.4
Green Bay Packers,10,3,0,.769,410,323,87,6.7,-0.8,5.9,6.4,-0.5
Minnesota Vikings,6,7,0,.462,333,355,-22,-1.7,0.3,-1.4,-0.2,-1.3
Chicago Bears,6,7,0,.462,282,291,-9,-0.7,1.1,0.4,-2.9,3.3
Detroit Lions,5,8,0,.385,310,389,-79,-6.1,0.9,-5.2,-0.2,-5.0
New Orleans Saints,10,3,0,.769,368,265,103,7.9,0.0,8.0,3.2,4.7
Tampa Bay Buccaneers,8,5,0,.615,370,294,76,5.8,1.3,7.2,4.7,2.5
Atlanta Falcons,4,9,0,.308,328,322,6,0.5,-0.1,0.4,-0.3,0.7
Carolina Panthers,4,9,0,.308,307,332,-25,-1.9,1.2,-0.8,-1.0,0.2
Los Angeles Rams,9,4,0,.692,325,246,79,6.1,1.0,7.1,1.3,5.8
Seattle Seahawks,9,4,0,.692,393,324,69,5.3,-0.4,4.9,6.1,-1.1
Arizona Cardinals,7,6,0,.538,358,303,55,4.2,-0.4,3.9,3.0,0.9
San Francisco 49ers,5,8,0,.385,300,311,-11,-0.8,1.9,1.0,0.2,0.8